Player1,Player2,Total_Plus_Minus_On,Total_Plus_Minus_Off
Rudy Gobert,Matthew Strazel,11,-7
Rudy Gobert,Evan Fournier,10,-6
Matthew Strazel,Nando De Colo,9,-5
Matthew Strazel,Guerschon Yabusele,7,-3
Rudy Gobert,Nicolas Batum,7,-3
Rudy Gobert,Guerschon Yabusele,7,-3
Victor Wembanyama,Nando De Colo,6,-2
Matthew Strazel,Nicolas Batum,6,-2
Rudy Gobert,Nando De Colo,5,-1
Victor Wembanyama,Rudy Gobert,5,-1
Matthew Strazel,Evan Fournier,4,0
Frank Ntilikina,Isaia Cordinier,4,0
Guerschon Yabusele,Bilal Coulibaly,4,12
Bilal Coulibaly,Andrew Albicy,3,9
Victor Wembanyama,Matthew Strazel,3,1
Victor Wembanyama,Mathias Lessort,3,1
Rudy Gobert,Frank Ntilikina,3,1
Evan Fournier,Nando De Colo,3,1
Evan Fournier,Andrew Albicy,2,-12
Nando De Colo,Bilal Coulibaly,2,2
Nando De Colo,Mathias Lessort,2,2
Guerschon Yabusele,Frank Ntilikina,2,-12
Guerschon Yabusele,Isaia Cordinier,2,2
Guerschon Yabusele,Nando De Colo,1,3
Frank Ntilikina,Mathias Lessort,1,3
Frank Ntilikina,Nando De Colo,1,3
Rudy Gobert,Isaia Cordinier,1,3
Evan Fournier,Isaia Cordinier,1,3
Nicolas Batum,Nando De Colo,1,3
Nicolas Batum,Mathias Lessort,1,3
Nando De Colo,Isaia Cordinier,1,3
Rudy Gobert,Bilal Coulibaly,1,3
Mathias Lessort,Isaia Cordinier,1,3
Matthew Strazel,Mathias Lessort,1,3
Frank Ntilikina,Andrew Albicy,0,-10
Victor Wembanyama,Andrew Albicy,0,2
Victor Wembanyama,Isaia Cordinier,0,16
Evan Fournier,Mathias Lessort,0,4
Guerschon Yabusele,Andrew Albicy,0,-10
Guerschon Yabusele,Mathias Lessort,-1,5
Matthew Strazel,Bilal Coulibaly,-1,5
Victor Wembanyama,Evan Fournier,-1,-9
Victor Wembanyama,Nicolas Batum,-2,6
Rudy Gobert,Andrew Albicy,-2,6
Evan Fournier,Frank Ntilikina,-2,-8
Victor Wembanyama,Guerschon Yabusele,-3,19
Victor Wembanyama,Frank Ntilikina,-3,7
Nando De Colo,Andrew Albicy,-3,7
Guerschon Yabusele,Nicolas Batum,-3,-7
Evan Fournier,Nicolas Batum,-3,-7
Nicolas Batum,Andrew Albicy,-3,-7
Bilal Coulibaly,Isaia Cordinier,-5,17
Frank Ntilikina,Nicolas Batum,-5,-5
Frank Ntilikina,Bilal Coulibaly,-5,9
Isaia Cordinier,Andrew Albicy,-6,22
Nicolas Batum,Bilal Coulibaly,-7,11
Evan Fournier,Guerschon Yabusele,-7,-3
Evan Fournier,Bilal Coulibaly,-8,12
Victor Wembanyama,Bilal Coulibaly,-10,26
